tez_id,yazar,yil,universite,tur,mufredat_donemi,sinif,orneklem_n,il,konu,kazanim_kodu,yanilgi_adi,yanilgi_tanimi,ogrenci_ornegi,gorulme_orani,olcum_araci,onerilen_mudahale,mudahale_sonucu,lemma_basamagi,guven,sayfa_ref,not,lgs_kazanim_tahmini
MAKALE:10.30703/cije.342074,"Çakmak Gürel, Zeynep; Okur, Muzaffer",2017,Erzincan Üniversitesi,MAKALE,2013,karma,154,,Doğrusal denklemler,M.7.2.2.1,Eşittir işaretini sonuç komutu sanma,Öğrenci eşittir işaretini iki tarafın denkliği değil bir işlem yapma komutu olarak okuyor ve tek bir sonuca indirgemeye çalışıyor.,97+16 ifadesini toplayıp tek sonuç yazma (KY1.2); eşitliğin yalnız bir tarafındaki sayıları işleme alma (KY1.1),%13,10 açık uçlu sorudan oluşan bilgi testi (her soruda 'Açıklayınız'); değerlendiriciler arası güvenirlik %95,Eşitliği denge olarak tanıtan modellerle çalışma,YOK,3,3,s. 485,"Sınıf kırılımı: 8.sf %0 (hiç yanılgı yok), 7.sf %18. Örneklem 113 yedinci + 41 sekizinci = 154. İl adı verilmemiş (""Doğu Anadolu'da orta ölçekli bir il""). Kazanım kodu makalenin kendi belirttiği ""denklemlerde eşitliğin korunumu ilkesini anlar"" kazanımından.",M.7.2.2.1
MAKALE:10.30703/cije.342074,"Çakmak Gürel, Zeynep; Okur, Muzaffer",2017,Erzincan Üniversitesi,MAKALE,2013,karma,154,,Cebirsel ifadeler ve özdeşlikler,,Harfleri yalnızca rakam sanma,Öğrenci yan yana yazılmış katsayı ve değişkenleri basamaklı bir sayı gibi okuyor; çarpım olduğunu göremiyor.,2xy=240 sorusuna y=0 cevabı verme; 2xy'yi üç basamaklı bir sayı sanma,%7,10 açık uçlu sorudan oluşan bilgi testi (her soruda 'Açıklayınız'); değerlendiriciler arası güvenirlik %95,Çarpım biçimindeki gösterimi açıkça vurgulama,YOK,1,3,s. 486-487,"Sınıf kırılımı: 8.sf %5, 7.sf %8. Aynı yanılgı Akkaya ve Durmuş (2006) çalışmasında %23.33 ile bağımsız olarak görülmüş (K4).",M.8.2.1.1
MAKALE:10.30703/cije.342074,"Çakmak Gürel, Zeynep; Okur, Muzaffer",2017,Erzincan Üniversitesi,MAKALE,2013,karma,154,,Doğrusal denklemler,,Denklemin diğer tarafına aynı işlemi uygulama,Öğrenci denklem çözerken karşı tarafta ters işlem yapmak yerine aynı işlemi tekrarlıyor.,,%12,10 açık uçlu sorudan oluşan bilgi testi (her soruda 'Açıklayınız'); değerlendiriciler arası güvenirlik %95,Terazi modeliyle eşitliğin korunumunu gösterme,YOK,3,3,s. 487-488,"Sınıf kırılımı: 8.sf %0, 7.sf %15. Makale bu soruda ayrıca iki alt yanılgı daha raporluyor: KY3.2 işlem önceliğini dikkate almama, KY3.3 aritmetik işlemleri cebire genelleme. Bunlar ayrı oranlanmadığı için ayrı satır açılmadı.",M.8.2.2.1
MAKALE:10.30703/cije.342074,"Çakmak Gürel, Zeynep; Okur, Muzaffer",2017,Erzincan Üniversitesi,MAKALE,2013,karma,154,,Cebirsel ifadeler ve özdeşlikler,,Farklı harfler her zaman farklı değerdir sanma,Öğrenci farklı harflerle gösterilen iki niceliğin değerinin asla eşit olamayacağını düşünüyor.,"Terazi sorusunda z ve t farklı harflerle gösterildiği için ağırlıklarının aynı olamayacağını, terazinin dengede kalamayacağını söyleme",%68,10 açık uçlu sorudan oluşan bilgi testi (her soruda 'Açıklayınız'); değerlendiriciler arası güvenirlik %95,Farklı harflerin aynı değeri alabildiğini somut modelle gösterme,YOK,1,3,s. 489-490,"ÇALIŞMANIN EN YÜKSEK ORANI. Sınıf kırılımı: 8.sf %66, 7.sf %69 — iki sınıfta da neredeyse aynı. Makale ayrıca KY4.2 ""verilen şekle göre karar verme"" alt yanılgısını da raporluyor.",M.8.2.1.1
MAKALE:10.30703/cije.342074,"Çakmak Gürel, Zeynep; Okur, Muzaffer",2017,Erzincan Üniversitesi,MAKALE,2013,karma,154,,Doğrusal denklemler,,Bilinmeyen yalnız bir tarafta olur sanma,Öğrenci problem için denklem kurarken bilinmeyeni eşitliğin yalnız bir tarafına yazıyor.,Denklem kurarken eşitliğin sağ tarafına x değişkenini yazmayıp sadece 10 sayısını gösterme,%14,10 açık uçlu sorudan oluşan bilgi testi (her soruda 'Açıklayınız'); değerlendiriciler arası güvenirlik %95,Denklemin iki tarafının da değişken içerebileceğini örneklerle gösterme,YOK,1,3,s. 491,"Sınıf kırılımı: 8.sf %5, 7.sf %17.",M.8.2.2.1
MAKALE:10.30703/cije.342074,"Çakmak Gürel, Zeynep; Okur, Muzaffer",2017,Erzincan Üniversitesi,MAKALE,2013,karma,154,,Doğrusal denklemler,,Kat ilişkisini ters yönde kurma,Öğrenci sözel olarak verilen kat ilişkisini denkleme çevirirken çarpanı yanlış tarafa yazıyor.,"""Kızların sayısı erkeklerin sayısının 8 katıdır"" ifadesi için 8K=E eşitliğini kurma",%14,10 açık uçlu sorudan oluşan bilgi testi (her soruda 'Açıklayınız'); değerlendiriciler arası güvenirlik %95,Sözel ifadeyi denkleme çevirirken sayısal deneme yaptırma,YOK,1,3,s. 491-492,"Sınıf kırılımı: 8.sf %7, 7.sf %16.",M.7.2.2.2
MAKALE:10.30703/cije.342074,"Çakmak Gürel, Zeynep; Okur, Muzaffer",2017,Erzincan Üniversitesi,MAKALE,2013,7,113,,Cebirsel ifadeler ve özdeşlikler,,Harfleri kelime etiketi sanma,Öğrenci harfi nesnenin kısaltması olarak görüyor ve katsayıları nesne adedi gibi toplayıp değişkenleri yok sayıyor.,3k+2d=15 denklemini kurmak yerine 3+2=5 olduğundan k+d=5 yazma,%19,10 açık uçlu sorudan oluşan bilgi testi (her soruda 'Açıklayınız'); değerlendiriciler arası güvenirlik %95,"Katsayıyı ""çarpı nesnelerin sayısı"" olarak okutma",YOK,2,3,s. 492-493,"K1: makale bu yanılgı için TOPLAM oran vermiyor, yalnız sınıf bazında veriyor. Bu yüzden satır 7. sınıfa (n=113) sabitlendi. 8. sınıf değeri %12. Aynı yanılgı Akkaya ve Durmuş (2006) çalışmasında %33.61 ile görülmüş (K4).",M.8.2.1.1
MAKALE:10.30703/cije.342074,"Çakmak Gürel, Zeynep; Okur, Muzaffer",2017,Erzincan Üniversitesi,MAKALE,2013,karma,154,,Doğrusal denklemler,M.7.2.2.3,Ters işlem yapamama,Öğrenci denklemi çözerken ters işlem yapmak yerine eşitliğin diğer tarafında da aynı işlemi uyguluyor.,"""9 katının 20 eksiği 25 olan sayı"" için 25+20'yi 9'a bölmek yerine 25 ile 9'u çarpıp 20 çıkarma",%12,10 açık uçlu sorudan oluşan bilgi testi (her soruda 'Açıklayınız'); değerlendiriciler arası güvenirlik %95,Terazi modeliyle ters işlem mantığını kurma,YOK,3,3,s. 493-494,"Sınıf kırılımı: 8.sf %12, 7.sf %12 — sınıf farkı yok. Makale ayrıca KY8.2 kat ilişkisi alt yanılgısını da raporluyor. Kazanım kodu makalenin kendi belirttiği ""8-10. sorular birinci dereceden bir bilinmeyenli denklemleri çözer kazanımına yöneliktir"" ifadesinden.",M.8.2.2.1
MAKALE:10.30703/cije.342074,"Çakmak Gürel, Zeynep; Okur, Muzaffer",2017,Erzincan Üniversitesi,MAKALE,2013,karma,154,,Doğrusal denklemler,M.7.2.2.3,Çıkarmanın değişme özelliği var sanma,Öğrenci denklem çözerken çıkarma işleminde terimlerin yerinin değiştirilebileceğini düşünüyor.,,%14,10 açık uçlu sorudan oluşan bilgi testi (her soruda 'Açıklayınız'); değerlendiriciler arası güvenirlik %95,Çıkarmada sıranın sonucu değiştirdiğini sayı doğrusunda gösterme,YOK,3,3,s. 494-495,"Sınıf kırılımı: 8.sf %8, 7.sf %12. Aynı yanılgı Akkaya ve Durmuş (2006) çalışmasında %10.46 ile görülmüş (K4).",M.8.2.2.1
MAKALE:10.30703/cije.342074,"Çakmak Gürel, Zeynep; Okur, Muzaffer",2017,Erzincan Üniversitesi,MAKALE,2013,karma,154,,Cebirsel ifadeler ve özdeşlikler,M.7.2.2.3,Parantezi dikkate almama,Öğrenci parantezli ifadeyi çarparken dağılma özelliğini uygulamıyor ve yalnız ilk terimi çarpıyor.,6(x+3) işleminde 6·x+6·3 yerine 6·x+3 yapma,%5,10 açık uçlu sorudan oluşan bilgi testi (her soruda 'Açıklayınız'); değerlendiriciler arası güvenirlik %95,İşlem önceliği ve dağılma özelliğini somut örneklerle pekiştirme,YOK,3,3,s. 495-496,"Sınıf kırılımı: 8.sf %0, 7.sf %6. Bu yanılgı üçüncü bağımsız çalışmada görülüyor: Akkaya ve Durmuş (2006) %38.75, Birgin ve Demirören (2020) %9.2 (K4 — tekrar güç göstergesidir).",M.8.2.1.2
